"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2021","3,539.50","3,515.44","3,539.50","3,502.37","","0.88%"
"03/11/2021","3,508.51","3,481.26","3,508.51","3,472.40","","1.31%"
"03/10/2021","3,463.06","3,476.91","3,514.35","3,455.42","","-0.45%"
"03/09/2021","3,478.72","3,426.48","3,491.12","3,426.33","","1.89%"
"03/05/2021","3,414.13","3,378.68","3,432.98","3,367.33","","0.49%"
"03/04/2021","3,397.56","3,403.01","3,416.04","3,366.76","","-0.54%"
"03/03/2021","3,416.04","3,432.88","3,450.76","3,408.47","","0.17%"
"03/02/2021","3,410.10","3,380.35","3,418.11","3,375.48","","0.71%"
"03/01/2021","3,386.16","3,369.68","3,393.93","3,354.09","","1.18%"
"02/26/2021","3,346.64","3,354.45","3,385.74","3,332.32","","-1.85%"
"02/25/2021","3,409.76","3,412.16","3,429.20","3,391.77","","0.72%"
"02/24/2021","3,385.48","3,426.07","3,433.09","3,385.01","","-1.41%"
"02/22/2021","3,433.93","3,447.57","3,456.26","3,415.37","","-0.36%"
"02/20/2021","3,446.32","3,454.43","3,454.89","3,435.44","","-0.33%"
"02/19/2021","3,457.68","3,398.40","3,460.85","3,380.89","","1.69%"
"02/18/2021","3,400.17","3,451.69","3,461.15","3,395.98","","-1.07%"
"02/17/2021","3,436.80","3,491.81","3,505.19","3,431.83","","-1.67%"
"02/16/2021","3,495.26","3,502.04","3,510.77","3,475.58","","0.38%"
"02/15/2021","3,481.90","3,461.94","3,483.34","3,455.95","","1.60%"
"02/12/2021","3,427.08","3,403.07","3,427.08","3,343.82","","0.37%"
"02/11/2021","3,414.32","3,405.33","3,416.40","3,390.22","","0.43%"
"02/10/2021","3,399.66","3,437.76","3,447.05","3,393.98","","-0.79%"
"02/09/2021","3,426.86","3,461.15","3,466.51","3,424.39","","-0.55%"
"02/08/2021","3,445.90","3,412.97","3,448.79","3,412.97","","1.57%"
"02/05/2021","3,392.73","3,396.97","3,406.22","3,368.58","","0.61%"
"02/04/2021","3,372.00","3,356.23","3,384.48","3,351.94","","0.85%"
"02/03/2021","3,343.46","3,351.99","3,376.83","3,332.50","","-0.50%"
"02/02/2021","3,360.25","3,324.24","3,366.13","3,321.70","","2.10%"
"02/01/2021","3,291.14","3,287.96","3,305.91","3,268.52","","0.43%"
"01/29/2021","3,277.08","3,335.13","3,337.01","3,272.53","","-1.94%"
"01/28/2021","3,342.01","3,319.16","3,359.10","3,307.42","","-0.05%"
"01/27/2021","3,343.62","3,398.38","3,408.64","3,333.04","","-1.39%"
"01/26/2021","3,390.76","3,384.99","3,408.13","3,374.10","","-0.20%"
"01/25/2021","3,397.48","3,399.28","3,425.78","3,385.74","","0.43%"
"01/22/2021","3,382.92","3,404.36","3,404.36","3,362.01","","-1.16%"
"01/21/2021","3,422.67","3,481.74","3,489.07","3,407.22","","-1.27%"
"01/20/2021","3,466.80","3,453.54","3,482.03","3,447.81","","0.68%"
"01/19/2021","3,443.23","3,479.53","3,491.93","3,439.64","","-0.83%"
"01/18/2021","3,471.92","3,440.56","3,475.18","3,426.11","","0.61%"
"01/15/2021","3,450.95","3,486.02","3,509.24","3,448.54","","-1.14%"
"01/14/2021","3,490.85","3,461.83","3,507.71","3,439.01","","0.59%"
"01/13/2021","3,470.26","3,487.92","3,504.56","3,448.94","","-0.04%"
"01/12/2021","3,471.65","3,494.60","3,520.66","3,451.87","","-0.31%"
"01/11/2021","3,482.48","3,455.67","3,516.90","3,436.66","","0.80%"
"01/08/2021","3,454.82","3,390.23","3,474.66","3,390.23","","2.49%"
"01/06/2021","3,371.03","3,373.37","3,380.63","3,344.43","","0.35%"
"01/05/2021","3,359.15","3,327.94","3,365.32","3,301.88","","0.26%"
"01/04/2021","3,350.51","3,306.12","3,350.81","3,304.17","","1.87%"
"12/30/2020","3,289.02","3,276.04","3,294.62","3,267.39","","0.44%"
"12/29/2020","3,274.67","3,269.71","3,282.23","3,264.33","","0.48%"
"12/28/2020","3,258.95","3,249.41","3,267.61","3,249.41","","0.39%"
"12/25/2020","3,246.35","3,236.38","3,248.63","3,228.74","","0.29%"
"12/24/2020","3,236.88","3,253.73","3,264.60","3,230.62","","-0.47%"
"12/23/2020","3,252.10","3,224.02","3,255.40","3,218.19","","0.48%"
